Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Start_Date,End_Date,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,CTR,Clicks,Conversion_Rate,Conversions,CPC,CPM,Spend,Revenue
248,CMP_0248_Increase_Sales,Lead Generation,Increase Sales,108,Facebook Ads,Healthcare,Working Professionals,MOFU,Image,All Devices,North,Target ROAS,944950,Large,40,2026-08-08,2026-09-17,Paused,90,98,Low,High,75.23,1655835,4105,230.19,1.75,999631,73,4680310,1.36,63652,12.34,7854,14.85,201.9,944950,1655835
249,CMP_0249_Website_Traffic,Retargeting,Website Traffic,115,Google Search Ads,E-Commerce,Senior Citizens,BOFU,Story,Desktop,East,CPM,1164291,Enterprise,58,2026-07-24,2026-09-20,Planned,95,92,Low,High,134.2,2726769,300,3880.97,2.34,1477742,90,2012330,9.99,201031,17.54,35260,5.79,578.58,1164291,2726769
250,CMP_0250_Increase_Brand_Awareness,Product Launch,Increase Brand Awareness,211,LinkedIn Ads,Education,Working Professionals,TOFU,Reels,Tablet,East,CPM,1289976,Enterprise,100,2026-07-22,2026-10-30,Planned,90,89,Low,High,129.66,2962558,3477,371.0,2.3,925770,86,923582,4.38,40452,11.0,4449,31.89,1396.71,1289976,2962558
251,CMP_0251_Increase_Sales,Lead Generation,Increase Sales,222,Google Display Ads,Finance,Students,MOFU,Reels,Tablet,Central,CPM,856003,Large,79,2026-08-09,2026-10-27,Paused,78,80,Medium,Medium,74.73,1495694,601,1424.3,1.75,826368,92,2461603,5.43,133665,16.8,22455,6.4,347.74,856003,1495694
252,CMP_0252_Customer_Retention,App Promotion,Customer Retention,190,Affiliate Marketing,Travel,Business Owners,TOFU,Image,Desktop,South,CPM,776295,Large,65,2026-04-28,2026-07-02,Running,87,91,Low,Medium,83.41,1423802,305,2545.23,1.83,1161783,65,2130770,9.36,199440,6.71,13382,3.89,364.33,776295,1423802
253,CMP_0253_Customer_Retention,Retargeting,Customer Retention,53,LinkedIn Ads,Healthcare,Senior Citizens,BOFU,Story,All Devices,Central,Maximize Clicks,1487427,Enterprise,54,2026-08-02,2026-09-25,Planned,91,89,Low,High,77.14,2634828,1086,1369.64,1.77,1770791,94,3489515,8.81,307426,10.79,33171,4.84,426.26,1487427,2634828
254,CMP_0254_Customer_Retention,Lead Generation,Customer Retention,141,Google Search Ads,Travel,Senior Citizens,MOFU,Story,Mobile,East,CPM,1388338,Enterprise,31,2026-06-18,2026-07-19,Running,89,86,Low,Medium,91.46,2658111,672,2065.98,1.91,2343081,69,2008304,7.67,154036,7.71,11876,9.01,691.3,1388338,2658111
255,CMP_0255_Generate_Leads,Sales,Generate Leads,29,Email Marketing,Finance,Students,TOFU,Image,All Devices,North,CPA,921126,Large,44,2026-06-15,2026-07-29,Running,88,85,Low,Medium,70.91,1574296,4001,230.22,1.71,2050538,64,2971405,4.99,148273,12.66,18771,6.21,310.0,921126,1574296
256,CMP_0256_Generate_Leads,Brand Awareness,Generate Leads,212,Google Display Ads,Technology,Students,TOFU,Video,All Devices,North,CPA,1083601,Enterprise,23,2026-05-30,2026-06-22,Completed,90,82,Low,High,132.82,2522839,2213,489.65,2.33,441433,96,3437050,3.71,127514,15.89,20261,8.5,315.27,1083601,2522839
257,CMP_0257_Increase_Sales,Retargeting,Increase Sales,233,Affiliate Marketing,Food Delivery,Families,BOFU,Image,Desktop,West,Maximize Clicks,915995,Large,80,2026-01-21,2026-04-11,Completed,85,91,Low,Medium,73.46,1588884,1290,710.07,1.73,4328787,93,4186386,5.79,242391,9.79,23730,3.78,218.8,915995,1588884
258,CMP_0258_Increase_Sales,Brand Awareness,Increase Sales,166,Instagram Ads,Healthcare,Working Professionals,TOFU,Image,Desktop,East,CPC,343701,Medium,117,2026-01-04,2026-05-01,Completed,79,73,Medium,Medium,115.17,739541,4890,70.29,2.15,4768005,72,1262424,5.56,70190,7.93,5566,4.9,272.25,343701,739541
259,CMP_0259_Customer_Retention,Lead Generation,Customer Retention,39,Affiliate Marketing,E-Commerce,Working Professionals,MOFU,Video,Desktop,West,CPM,293053,Medium,70,2026-04-22,2026-07-01,Running,82,78,Medium,Medium,117.52,637448,4694,62.43,2.18,390383,62,601741,3.05,18353,11.03,2024,15.97,487.01,293053,637448
260,CMP_0260_App_Installs,Retargeting,App Installs,126,Instagram Ads,Healthcare,Families,BOFU,Image,All Devices,East,Target ROAS,169399,Medium,56,2026-08-11,2026-10-06,Planned,74,81,Medium,Medium,88.96,320096,351,482.62,1.89,4232266,91,760901,2.9,22066,14.42,3181,7.68,222.63,169399,320096
261,CMP_0261_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,175,Email Marketing,Finance,Working Professionals,TOFU,Story,All Devices,North,CPM,1418443,Enterprise,89,2026-06-03,2026-08-31,Running,86,90,Low,Medium,103.56,2887382,2766,512.81,2.04,4161510,99,3752494,1.75,65668,4.44,2915,21.6,378.0,1418443,2887382
262,CMP_0262_Website_Traffic,Lead Generation,Website Traffic,97,Google Display Ads,Fashion,Business Owners,MOFU,Image,All Devices,Central,CPC,227375,Medium,112,2026-08-04,2026-11-24,Planned,84,92,Medium,Medium,74.96,397815,316,719.54,1.75,4213625,68,264303,10.57,27936,7.94,2218,8.14,860.28,227375,397815
263,CMP_0263_Generate_Leads,App Promotion,Generate Leads,52,Affiliate Marketing,Travel,Working Professionals,TOFU,Story,Desktop,East,Maximize Clicks,1013569,Enterprise,56,2026-06-12,2026-08-07,Running,90,93,Low,High,84.11,1866081,4934,205.43,1.84,1163438,68,1323166,6.05,80051,2.85,2281,12.66,766.02,1013569,1866081
264,CMP_0264_Website_Traffic,App Promotion,Website Traffic,218,Instagram Ads,Healthcare,Families,TOFU,Story,All Devices,North,CPC,397063,Medium,82,2026-07-18,2026-10-08,Planned,60,59,High,Low,52.08,603853,3283,120.95,1.52,3108049,70,1744940,0.97,16925,10.01,1694,23.46,227.55,397063,603853
265,CMP_0265_Increase_Sales,Product Launch,Increase Sales,92,LinkedIn Ads,E-Commerce,Students,TOFU,Reels,All Devices,East,Maximize Clicks,1212498,Enterprise,114,2026-05-02,2026-08-24,Running,98,99,Low,High,122.05,2692351,3071,394.82,2.22,3465166,68,3435951,9.83,337753,8.91,30093,3.59,352.89,1212498,2692351
266,CMP_0266_Customer_Retention,Brand Awareness,Customer Retention,264,Affiliate Marketing,Food Delivery,Working Professionals,TOFU,Video,All Devices,South,CPM,1006199,Enterprise,53,2026-06-08,2026-07-31,Running,85,91,Low,Medium,75.72,1768092,1121,897.59,1.76,1553800,87,1877106,1.94,36415,12.07,4395,27.63,536.04,1006199,1768092
267,CMP_0267_Increase_Sales,Retargeting,Increase Sales,128,Google Display Ads,Finance,Business Owners,BOFU,Image,Desktop,East,CPM,1416502,Enterprise,109,2026-07-11,2026-10-28,Paused,92,95,Low,High,99.12,2820538,148,9570.96,1.99,191018,65,810521,9.1,73757,7.93,5848,19.2,1747.64,1416502,2820538
268,CMP_0268_Increase_Sales,Product Launch,Increase Sales,68,Affiliate Marketing,Education,Families,TOFU,Video,All Devices,North,CPM,1031757,Enterprise,41,2026-08-10,2026-09-20,Planned,93,96,Low,High,96.78,2030291,2027,509.01,1.97,4351109,76,2762021,11.59,320118,3.1,9923,3.22,373.55,1031757,2030291
269,CMP_0269_App_Installs,Retargeting,App Installs,100,Email Marketing,Food Delivery,Students,BOFU,Reels,All Devices,North,CPA,719303,Large,99,2026-08-19,2026-11-26,Planned,79,84,Medium,Medium,64.12,1180520,1845,389.87,1.64,429378,70,1267286,3.13,39666,6.03,2391,18.13,567.59,719303,1180520
270,CMP_0270_Website_Traffic,Sales,Website Traffic,72,Google Search Ads,Travel,Students,TOFU,Story,All Devices,South,CPM,974302,Large,34,2026-06-06,2026-07-10,Running,87,84,Low,Medium,103.33,1981048,4802,202.9,2.03,1208221,85,1014455,8.05,81663,9.65,7880,11.93,960.42,974302,1981048
271,CMP_0271_Customer_Retention,Product Launch,Customer Retention,74,YouTube Ads,Food Delivery,Freelancers,TOFU,Reels,Tablet,East,Maximize Clicks,993458,Large,117,2026-07-08,2026-11-02,Paused,81,78,Medium,Medium,90.24,1889954,2178,456.13,1.9,4520627,78,1097792,4.8,52694,4.4,2318,18.85,904.96,993458,1889954
272,CMP_0272_Customer_Retention,Product Launch,Customer Retention,188,LinkedIn Ads,E-Commerce,Families,TOFU,Reels,Mobile,East,CPM,630262,Large,112,2025-12-11,2026-04-02,Completed,85,79,Low,Medium,97.3,1243506,3963,159.04,1.97,3235995,89,1992702,4.5,89671,2.23,1999,7.03,316.29,630262,1243506
273,CMP_0273_Customer_Retention,Brand Awareness,Customer Retention,46,Google Display Ads,Education,Senior Citizens,TOFU,Carousel,Desktop,West,CPM,492124,Medium,85,2026-07-27,2026-10-20,Paused,65,67,High,Low,73.47,853687,3253,151.28,1.73,3575173,72,2403304,6.22,149485,15.51,23185,3.29,204.77,492124,853687
274,CMP_0274_Website_Traffic,App Promotion,Website Traffic,212,Affiliate Marketing,Education,Families,TOFU,Reels,All Devices,East,CPC,252099,Medium,31,2026-07-07,2026-08-07,Paused,85,78,Low,Medium,99.28,502382,3941,63.97,1.99,1694854,97,1823197,3.89,70922,11.04,7829,3.55,138.27,252099,502382
275,CMP_0275_Generate_Leads,App Promotion,Generate Leads,111,YouTube Ads,Education,Business Owners,TOFU,Video,All Devices,Central,Target ROAS,1144624,Enterprise,120,2026-03-24,2026-07-22,Running,98,97,Low,High,126.67,2594519,4849,236.05,2.27,3312539,66,4509062,6.9,311125,7.41,23054,3.68,253.85,1144624,2594519
276,CMP_0276_Website_Traffic,App Promotion,Website Traffic,176,Affiliate Marketing,Technology,Senior Citizens,TOFU,Reels,All Devices,East,CPC,850780,Large,19,2026-07-25,2026-08-13,Planned,92,97,Low,High,107.96,1769282,4164,204.32,2.08,347973,97,4254450,7.3,310574,6.68,20746,2.74,199.97,850780,1769282
277,CMP_0277_Generate_Leads,Brand Awareness,Generate Leads,154,YouTube Ads,Travel,Working Professionals,TOFU,Story,Mobile,Central,CPA,1106887,Enterprise,89,2026-08-22,2026-11-19,Planned,91,98,Low,High,89.87,2101646,2962,373.7,1.9,377437,65,1898472,6.8,129096,17.9,23108,8.57,583.04,1106887,2101646
278,CMP_0278_Increase_Sales,App Promotion,Increase Sales,176,Google Display Ads,Finance,Students,TOFU,Story,Mobile,North,CPC,603307,Large,27,2026-03-24,2026-04-20,Completed,80,77,Medium,Medium,70.37,1027854,3436,175.58,1.7,1209169,80,3780422,10.46,395432,2.83,11190,1.53,159.59,603307,1027854
279,CMP_0279_App_Installs,Retargeting,App Installs,31,LinkedIn Ads,Fashion,Families,BOFU,Reels,All Devices,West,CPC,834841,Large,116,2026-05-20,2026-09-13,Running,78,72,Medium,Medium,106.85,1726868,3641,229.29,2.07,4885841,89,3661135,1.91,69927,9.28,6489,11.94,228.03,834841,1726868
280,CMP_0280_Increase_Brand_Awareness,Sales,Increase Brand Awareness,47,Instagram Ads,Fashion,Families,TOFU,Carousel,All Devices,East,CPA,793934,Large,45,2026-06-11,2026-07-26,Running,88,80,Low,Medium,114.43,1702432,4947,160.49,2.14,405383,77,4132852,1.9,78524,15.46,12139,10.11,192.1,793934,1702432
281,CMP_0281_Generate_Leads,Brand Awareness,Generate Leads,277,Affiliate Marketing,Technology,Freelancers,TOFU,Reels,Tablet,North,CPM,418360,Medium,69,2026-06-17,2026-08-25,Running,79,87,Medium,Medium,83.12,766100,2619,159.74,1.83,3513274,99,4816434,5.79,278871,3.26,9091,1.5,86.86,418360,766100
282,CMP_0282_Generate_Leads,Product Launch,Generate Leads,92,Google Display Ads,E-Commerce,Business Owners,TOFU,Story,All Devices,East,CPM,898123,Large,17,2026-04-14,2026-05-01,Completed,81,84,Medium,Medium,81.2,1627398,563,1595.25,1.81,1770139,66,1691453,3.0,50743,4.68,2374,17.7,530.98,898123,1627398
283,CMP_0283_Customer_Retention,Product Launch,Customer Retention,213,Google Search Ads,Healthcare,Freelancers,TOFU,Video,Tablet,Central,Maximize Clicks,903686,Large,41,2026-02-24,2026-04-06,Completed,76,82,Medium,Medium,64.5,1486563,2313,390.7,1.64,3174719,83,3201364,6.48,207448,1.69,3505,4.36,282.28,903686,1486563
284,CMP_0284_App_Installs,App Promotion,App Installs,63,Google Search Ads,Travel,Freelancers,TOFU,Reels,Desktop,North,CPC,474198,Medium,107,2026-07-22,2026-11-06,Paused,70,64,Medium,Medium,84.33,874089,1554,305.15,1.84,826839,97,3977108,4.74,188514,11.7,22056,2.52,119.23,474198,874089
285,CMP_0285_App_Installs,Retargeting,App Installs,64,YouTube Ads,Fashion,Students,BOFU,Story,All Devices,North,CPM,52352,Small,93,2026-04-15,2026-07-17,Running,78,72,Medium,Medium,85.54,97133,2516,20.81,1.86,4866402,86,4462760,1.16,51768,8.24,4265,1.01,11.73,52352,97133
286,CMP_0286_Increase_Sales,Retargeting,Increase Sales,73,LinkedIn Ads,Healthcare,Families,BOFU,Story,Tablet,West,CPM,1091569,Enterprise,71,2026-07-11,2026-09-20,Planned,89,97,Low,Medium,128.51,2494344,2385,457.68,2.29,2341486,60,4244619,4.49,190583,6.8,12959,5.73,257.17,1091569,2494344
287,CMP_0287_Website_Traffic,App Promotion,Website Traffic,71,Facebook Ads,E-Commerce,Working Professionals,TOFU,Reels,Tablet,Central,Target ROAS,926826,Large,120,2026-07-30,2026-11-27,Planned,86,83,Low,Medium,89.87,1759764,1164,796.24,1.9,4608979,91,4405330,9.66,425554,7.81,33235,2.18,210.39,926826,1759764
288,CMP_0288_App_Installs,App Promotion,App Installs,27,Instagram Ads,E-Commerce,Families,TOFU,Reels,Tablet,West,CPM,607250,Large,45,2026-08-06,2026-09-20,Paused,75,83,Medium,Medium,65.36,1004148,3626,167.47,1.65,3087672,96,1715924,4.12,70696,2.91,2057,8.59,353.89,607250,1004148
289,CMP_0289_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,138,Google Search Ads,Travel,Freelancers,TOFU,Reels,Desktop,South,Maximize Clicks,1483092,Enterprise,43,2026-06-05,2026-07-18,Running,86,92,Low,Medium,84.43,2735266,4314,343.79,1.84,302444,91,2125960,9.77,207706,2.58,5358,7.14,697.61,1483092,2735266
290,CMP_0290_Increase_Sales,App Promotion,Increase Sales,207,Google Display Ads,Education,Working Professionals,TOFU,Carousel,Mobile,Central,CPC,393323,Medium,66,2026-03-02,2026-05-07,Completed,88,89,Low,Medium,100.3,787825,159,2473.73,2.0,3149952,80,909029,5.11,46451,11.66,5416,8.47,432.68,393323,787825
291,CMP_0291_App_Installs,App Promotion,App Installs,100,Affiliate Marketing,Food Delivery,Working Professionals,TOFU,Image,All Devices,North,Maximize Clicks,633316,Large,102,2026-08-22,2026-12-02,Paused,75,73,Medium,Medium,97.84,1252952,529,1197.19,1.98,604356,90,3225458,8.79,283517,16.94,48027,2.23,196.35,633316,1252952
292,CMP_0292_Increase_Sales,Retargeting,Increase Sales,38,Instagram Ads,Travel,Business Owners,BOFU,Story,Mobile,East,CPC,1031135,Enterprise,110,2026-08-06,2026-11-24,Paused,96,89,Low,High,125.81,2328405,2336,441.41,2.26,4293093,64,2492202,1.81,45108,17.9,8074,22.86,413.74,1031135,2328405
293,CMP_0293_Generate_Leads,Lead Generation,Generate Leads,289,Facebook Ads,Travel,Families,MOFU,Reels,Tablet,West,Target ROAS,802954,Large,22,2026-06-15,2026-07-07,Running,93,96,Low,High,115.76,1732453,714,1124.59,2.16,2966342,86,3976629,11.55,459300,9.56,43909,1.75,201.92,802954,1732453
294,CMP_0294_Increase_Brand_Awareness,Sales,Increase Brand Awareness,192,Instagram Ads,Healthcare,Working Professionals,TOFU,Carousel,Desktop,East,Target ROAS,285143,Medium,109,2026-08-15,2026-12-02,Paused,66,59,High,Low,82.38,520043,2325,122.64,1.82,4005975,63,2523085,9.43,237926,13.51,32143,1.2,113.01,285143,520043
295,CMP_0295_Increase_Sales,Sales,Increase Sales,18,Google Display Ads,Travel,Business Owners,TOFU,Reels,Tablet,Central,CPC,513902,Large,28,2026-06-10,2026-07-08,Running,93,93,Low,High,135.55,1210496,549,936.07,2.36,2257465,97,980074,3.0,29402,17.23,5065,17.48,524.35,513902,1210496
296,CMP_0296_Customer_Retention,Retargeting,Customer Retention,221,LinkedIn Ads,Technology,Senior Citizens,BOFU,Story,Desktop,East,CPA,1047628,Enterprise,108,2026-08-14,2026-11-30,Planned,99,99,Low,High,142.81,2543745,4911,213.32,2.43,3119508,66,1474851,2.05,30234,4.89,1478,34.65,710.33,1047628,2543745
297,CMP_0297_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,205,Affiliate Marketing,Fashion,Business Owners,TOFU,Video,Mobile,East,Target ROAS,1195290,Enterprise,78,2026-06-20,2026-09-06,Running,91,85,Low,High,80.49,2157378,2698,443.03,1.8,863621,79,4826151,7.97,384644,3.13,12039,3.11,247.67,1195290,2157378
298,CMP_0298_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,29,Email Marketing,Healthcare,Freelancers,TOFU,Video,Tablet,Central,Maximize Clicks,253170,Medium,97,2026-05-06,2026-08-11,Running,87,87,Low,Medium,117.94,551758,2331,108.61,2.18,4759376,94,444701,6.11,27171,17.92,4869,9.32,569.3,253170,551758
299,CMP_0299_Customer_Retention,Brand Awareness,Customer Retention,237,Affiliate Marketing,E-Commerce,Students,TOFU,Carousel,All Devices,South,CPC,386503,Medium,41,2026-03-13,2026-04-23,Completed,60,63,High,Low,62.8,629226,1432,269.9,1.63,150983,71,2960879,2.89,85569,6.92,5921,4.52,130.54,386503,629226
300,CMP_0300_Website_Traffic,Brand Awareness,Website Traffic,298,Email Marketing,Healthcare,Senior Citizens,TOFU,Story,Mobile,West,CPA,100622,Medium,82,2026-07-19,2026-10-09,Paused,65,66,High,Low,90.48,191664,3405,29.55,1.9,1915415,88,572727,5.49,31442,14.86,4672,3.2,175.69,100622,191664
301,CMP_0301_Website_Traffic,Sales,Website Traffic,114,Google Search Ads,Finance,Business Owners,TOFU,Reels,All Devices,South,CPM,149131,Medium,99,2026-08-27,2026-12-04,Planned,63,57,High,Low,71.9,256356,2261,65.96,1.72,1051980,97,335148,10.62,35592,5.55,1975,4.19,444.97,149131,256356
302,CMP_0302_Website_Traffic,App Promotion,Website Traffic,240,Facebook Ads,Fashion,Families,TOFU,Image,Tablet,North,Maximize Clicks,690362,Large,30,2026-06-15,2026-07-15,Running,79,78,Medium,Medium,107.13,1429946,3277,210.67,2.07,4208379,92,3376687,6.42,216783,16.17,35053,3.18,204.45,690362,1429946
303,CMP_0303_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,125,Facebook Ads,Travel,Freelancers,TOFU,Story,All Devices,North,CPM,801953,Large,55,2026-04-08,2026-06-02,Completed,92,88,Low,High,109.29,1678407,3337,240.32,2.09,1563595,94,1024384,7.47,76521,7.04,5387,10.48,782.86,801953,1678407
304,CMP_0304_App_Installs,Retargeting,App Installs,115,YouTube Ads,Healthcare,Families,BOFU,Story,Desktop,North,CPM,595234,Large,75,2026-07-15,2026-09-28,Paused,92,91,Low,High,113.66,1271776,913,651.95,2.14,2973289,61,3879429,9.16,355355,7.54,26793,1.68,153.43,595234,1271776
305,CMP_0305_Generate_Leads,Retargeting,Generate Leads,208,Facebook Ads,Fashion,Working Professionals,BOFU,Carousel,Desktop,Central,CPA,1104079,Enterprise,55,2026-05-10,2026-07-04,Running,97,95,Low,High,132.17,2563340,716,1542.01,2.32,1188489,67,3173101,10.74,340791,4.61,15710,3.24,347.95,1104079,2563340
306,CMP_0306_Increase_Sales,Product Launch,Increase Sales,51,Google Search Ads,Healthcare,Business Owners,TOFU,Story,Desktop,Central,Target ROAS,371405,Medium,104,2026-07-10,2026-10-22,Paused,73,71,Medium,Medium,106.26,766059,4269,87.0,2.06,3070879,84,3656270,11.78,430708,5.48,23602,0.86,101.58,371405,766059
307,CMP_0307_Customer_Retention,Sales,Customer Retention,114,Google Search Ads,E-Commerce,Freelancers,TOFU,Story,Desktop,West,CPC,945750,Large,63,2026-05-31,2026-08-02,Running,86,90,Low,Medium,127.7,2153472,2203,429.3,2.28,2800376,88,2662379,5.77,153619,11.54,17727,6.16,355.23,945750,2153472
308,CMP_0308_Increase_Brand_Awareness,Sales,Increase Brand Awareness,184,YouTube Ads,Food Delivery,Freelancers,TOFU,Reels,All Devices,Central,CPM,412922,Medium,98,2026-08-12,2026-11-18,Planned,78,77,Medium,Medium,82.68,754325,2240,184.34,1.83,4172871,88,2706829,5.17,139943,9.44,13210,2.95,152.55,412922,754325
309,CMP_0309_Website_Traffic,Retargeting,Website Traffic,168,Google Display Ads,E-Commerce,Working Professionals,BOFU,Image,Mobile,Central,CPC,341966,Medium,56,2026-03-25,2026-05-20,Completed,71,77,Medium,Medium,77.71,607707,853,400.9,1.78,3744379,78,606980,6.68,40546,6.44,2611,8.43,563.39,341966,607707
310,CMP_0310_Generate_Leads,Product Launch,Generate Leads,168,Instagram Ads,E-Commerce,Students,TOFU,Story,Mobile,Central,Target ROAS,1060559,Enterprise,34,2026-08-06,2026-09-09,Planned,89,86,Low,Medium,123.37,2368970,2379,445.8,2.23,3391241,80,3960174,8.71,344931,10.35,35700,3.07,267.81,1060559,2368970
311,CMP_0311_Generate_Leads,Sales,Generate Leads,236,Affiliate Marketing,Food Delivery,Students,TOFU,Image,All Devices,West,CPC,619877,Large,118,2026-08-03,2026-11-29,Planned,81,88,Medium,Medium,101.46,1248804,631,982.37,2.01,1604738,82,1705226,9.63,164213,11.73,19262,3.77,363.52,619877,1248804
312,CMP_0312_App_Installs,Retargeting,App Installs,112,Email Marketing,Education,Families,BOFU,Video,Mobile,Central,Maximize Clicks,1106686,Enterprise,34,2026-04-01,2026-05-05,Completed,96,88,Low,High,79.1,1982074,4185,264.44,1.79,3531880,66,2592508,8.97,232547,15.96,37114,4.76,426.88,1106686,1982074
313,CMP_0313_App_Installs,Retargeting,App Installs,209,Affiliate Marketing,Education,Business Owners,BOFU,Video,Mobile,Central,CPC,630358,Large,116,2026-07-17,2026-11-10,Paused,77,79,Medium,Medium,77.3,1117624,3692,170.74,1.77,1211385,80,1602301,10.07,161351,6.71,10826,3.91,393.41,630358,1117624
314,CMP_0314_Generate_Leads,Product Launch,Generate Leads,198,YouTube Ads,Finance,Students,TOFU,Carousel,Mobile,East,CPM,350149,Medium,93,2026-07-15,2026-10-16,Planned,89,84,Low,Medium,87.49,656494,4741,73.86,1.87,3043959,67,3844479,3.64,139939,10.9,15253,2.5,91.08,350149,656494
315,CMP_0315_Increase_Sales,Sales,Increase Sales,25,Google Search Ads,Technology,Business Owners,TOFU,Reels,All Devices,South,Maximize Clicks,1434542,Enterprise,55,2026-03-05,2026-04-29,Completed,85,79,Low,Medium,110.15,3014690,3299,434.84,2.1,3321096,69,766047,2.81,21525,8.12,1747,66.65,1872.66,1434542,3014690
316,CMP_0316_Increase_Sales,Brand Awareness,Increase Sales,223,Google Display Ads,Healthcare,Students,TOFU,Image,Desktop,West,CPM,1195024,Enterprise,70,2026-08-10,2026-10-19,Planned,87,91,Low,Medium,99.15,2379890,3134,381.31,1.99,1311409,96,1369016,5.47,74885,3.94,2950,15.96,872.91,1195024,2379890
317,CMP_0317_Website_Traffic,App Promotion,Website Traffic,155,Google Display Ads,Healthcare,Working Professionals,TOFU,Image,Desktop,South,Maximize Clicks,1201311,Enterprise,94,2026-04-11,2026-07-14,Running,96,99,Low,High,133.2,2801457,1986,604.89,2.33,3900566,81,374577,2.36,8840,8.48,749,135.89,3207.11,1201311,2801457
318,CMP_0318_Increase_Sales,Lead Generation,Increase Sales,83,Email Marketing,Fashion,Business Owners,MOFU,Image,Tablet,West,Target ROAS,328863,Medium,17,2026-06-24,2026-07-11,Running,86,88,Low,Medium,92.75,633883,4149,79.26,1.93,3717723,65,1414409,8.81,124609,11.34,14130,2.64,232.51,328863,633883
319,CMP_0319_Generate_Leads,Brand Awareness,Generate Leads,6,Affiliate Marketing,Travel,Business Owners,TOFU,Video,Desktop,East,CPC,322127,Medium,34,2026-07-25,2026-08-28,Planned,87,83,Low,Medium,86.17,599703,1741,185.02,1.86,3130480,64,1393768,8.93,124463,17.24,21457,2.59,231.12,322127,599703
320,CMP_0320_App_Installs,Retargeting,App Installs,258,Google Search Ads,Finance,Families,BOFU,Reels,Desktop,West,Maximize Clicks,706028,Large,91,2026-08-22,2026-11-21,Paused,93,96,Low,High,139.28,1689383,2333,302.63,2.39,4442417,70,4884815,4.76,232517,13.14,30552,3.04,144.54,706028,1689383
321,CMP_0321_Website_Traffic,Brand Awareness,Website Traffic,118,Email Marketing,Education,Senior Citizens,TOFU,Reels,All Devices,Central,CPA,1213916,Enterprise,57,2026-08-25,2026-10-21,Paused,92,86,Low,High,89.59,2301463,3818,317.95,1.9,4642954,70,1882663,1.86,35017,16.98,5945,34.67,644.79,1213916,2301463
322,CMP_0322_App_Installs,Product Launch,App Installs,265,Email Marketing,Technology,Working Professionals,TOFU,Story,Tablet,South,CPM,1495794,Enterprise,107,2026-03-20,2026-07-05,Running,87,89,Low,Medium,118.26,3264719,4256,351.46,2.18,4853954,89,3517607,10.18,358092,7.87,28181,4.18,425.23,1495794,3264719
323,CMP_0323_App_Installs,Brand Awareness,App Installs,25,Facebook Ads,Education,Families,TOFU,Carousel,Desktop,North,CPC,535850,Large,89,2026-08-20,2026-11-17,Planned,76,70,Medium,Medium,98.57,1064037,809,662.36,1.99,2656438,72,4246159,2.83,120166,16.85,20247,4.46,126.2,535850,1064037
324,CMP_0324_App_Installs,Product Launch,App Installs,216,Instagram Ads,Finance,Business Owners,TOFU,Carousel,Mobile,West,CPM,551871,Large,113,2026-07-23,2026-11-13,Paused,83,90,Medium,Medium,96.47,1084260,3557,155.15,1.96,192553,68,4793170,9.61,460623,15.61,71903,1.2,115.14,551871,1084260
325,CMP_0325_Customer_Retention,Product Launch,Customer Retention,161,Facebook Ads,Technology,Families,TOFU,Image,Desktop,North,CPC,1466205,Enterprise,46,2026-05-18,2026-07-03,Running,88,85,Low,Medium,118.0,3196326,1584,925.63,2.18,505809,75,436089,1.93,8416,12.32,1036,174.22,3362.17,1466205,3196326
326,CMP_0326_App_Installs,Sales,App Installs,215,Instagram Ads,Finance,Business Owners,TOFU,Image,Desktop,West,CPA,286216,Medium,33,2026-07-08,2026-08-10,Paused,87,95,Low,Medium,129.19,655978,2484,115.22,2.29,1479853,78,3207764,6.26,200806,11.58,23253,1.43,89.23,286216,655978
327,CMP_0327_Website_Traffic,Lead Generation,Website Traffic,107,Facebook Ads,Travel,Families,MOFU,Carousel,Desktop,East,CPA,1377238,Enterprise,31,2026-08-14,2026-09-14,Planned,97,91,Low,High,90.39,2622123,3277,420.27,1.9,3988094,61,1891139,7.6,143726,14.36,20639,9.58,728.26,1377238,2622123
328,CMP_0328_Increase_Brand_Awareness,Sales,Increase Brand Awareness,267,LinkedIn Ads,Technology,Freelancers,TOFU,Reels,Mobile,North,Target ROAS,777315,Large,15,2026-06-19,2026-07-04,Running,88,80,Low,Medium,129.81,1786347,4003,194.18,2.3,2038491,96,3519811,0.92,32382,5.48,1774,24.0,220.84,777315,1786347
