Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Start_Date,End_Date,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,Clicks,Conversions,CTR,Conversion_Rate,Spend,Revenue,CPC,CPM,ROAS,ROI,Engagement_Rate,Bounce_Rate,Avg_Session_Duration,Campaign_Success
276,CMP_0276_Website_Traffic,App Promotion,Website Traffic,176,Affiliate Marketing,Technology,Senior Citizens,TOFU,Reels,All Devices,East,CPC,850780,Large,19,2026-07-25,2026-08-13,Planned,92,97,Low,High,107.96,1769282,4164,204.32,2.08,347973,97,4254450,310574,20746,7.3,6.68,850780,1769282,2.74,199.97,2.08,107.96,16.58,53.44,184,1
277,CMP_0277_Generate_Leads,Brand Awareness,Generate Leads,154,YouTube Ads,Travel,Working Professionals,TOFU,Story,Mobile,Central,CPA,1106887,Enterprise,89,2026-08-22,2026-11-19,Planned,91,98,Low,High,89.87,2101646,2962,373.7,1.9,377437,65,1898472,129096,23108,6.8,17.9,1106887,2101646,8.57,583.04,1.9,89.87,8.07,26.69,318,1
278,CMP_0278_Increase_Sales,App Promotion,Increase Sales,176,Google Display Ads,Finance,Students,TOFU,Story,Mobile,North,CPC,603307,Large,27,2026-03-24,2026-04-20,Completed,80,77,Medium,Medium,70.37,1027854,3436,175.58,1.7,1209169,80,3780422,395432,11190,10.46,2.83,603307,1027854,1.53,159.59,1.7,70.37,11.11,23.24,312,0
279,CMP_0279_App_Installs,Retargeting,App Installs,31,LinkedIn Ads,Fashion,Families,BOFU,Reels,All Devices,West,CPC,834841,Large,116,2026-05-20,2026-09-13,Running,78,72,Medium,Medium,106.85,1726868,3641,229.29,2.07,4885841,89,3661135,69927,6489,1.91,9.28,834841,1726868,11.94,228.03,2.07,106.85,6.9,41.32,248,1
280,CMP_0280_Increase_Brand_Awareness,Sales,Increase Brand Awareness,47,Instagram Ads,Fashion,Families,TOFU,Carousel,All Devices,East,CPA,793934,Large,45,2026-06-11,2026-07-26,Running,88,80,Low,Medium,114.43,1702432,4947,160.49,2.14,405383,77,4132852,78524,12139,1.9,15.46,793934,1702432,10.11,192.1,2.14,114.43,4.09,62.89,423,1
281,CMP_0281_Generate_Leads,Brand Awareness,Generate Leads,277,Affiliate Marketing,Technology,Freelancers,TOFU,Reels,Tablet,North,CPM,418360,Medium,69,2026-06-17,2026-08-25,Running,79,87,Medium,Medium,83.12,766100,2619,159.74,1.83,3513274,99,4816434,278871,9091,5.79,3.26,418360,766100,1.5,86.86,1.83,83.12,8.93,29.97,371,0
282,CMP_0282_Generate_Leads,Product Launch,Generate Leads,92,Google Display Ads,E-Commerce,Business Owners,TOFU,Story,All Devices,East,CPM,898123,Large,17,2026-04-14,2026-05-01,Completed,81,84,Medium,Medium,81.2,1627398,563,1595.25,1.81,1770139,66,1691453,50743,2374,3.0,4.68,898123,1627398,17.7,530.98,1.81,81.2,16.64,48.53,332,0
283,CMP_0283_Customer_Retention,Product Launch,Customer Retention,213,Google Search Ads,Healthcare,Freelancers,TOFU,Video,Tablet,Central,Maximize Clicks,903686,Large,41,2026-02-24,2026-04-06,Completed,76,82,Medium,Medium,64.5,1486563,2313,390.7,1.64,3174719,83,3201364,207448,3505,6.48,1.69,903686,1486563,4.36,282.28,1.64,64.5,8.49,32.38,431,0
284,CMP_0284_App_Installs,App Promotion,App Installs,63,Google Search Ads,Travel,Freelancers,TOFU,Reels,Desktop,North,CPC,474198,Medium,107,2026-07-22,2026-11-06,Paused,70,64,Medium,Medium,84.33,874089,1554,305.15,1.84,826839,97,3977108,188514,22056,4.74,11.7,474198,874089,2.52,119.23,1.84,84.33,4.21,36.07,288,1
285,CMP_0285_App_Installs,Retargeting,App Installs,64,YouTube Ads,Fashion,Students,BOFU,Story,All Devices,North,CPM,52352,Small,93,2026-04-15,2026-07-17,Running,78,72,Medium,Medium,85.54,97133,2516,20.81,1.86,4866402,86,4462760,51768,4265,1.16,8.24,52352,97133,1.01,11.73,1.86,85.54,2.37,27.88,197,0
286,CMP_0286_Increase_Sales,Retargeting,Increase Sales,73,LinkedIn Ads,Healthcare,Families,BOFU,Story,Tablet,West,CPM,1091569,Enterprise,71,2026-07-11,2026-09-20,Planned,89,97,Low,Medium,128.51,2494344,2385,457.68,2.29,2341486,60,4244619,190583,12959,4.49,6.8,1091569,2494344,5.73,257.17,2.29,128.51,16.97,38.56,259,1
287,CMP_0287_Website_Traffic,App Promotion,Website Traffic,71,Facebook Ads,E-Commerce,Working Professionals,TOFU,Reels,Tablet,Central,Target ROAS,926826,Large,120,2026-07-30,2026-11-27,Planned,86,83,Low,Medium,89.87,1759764,1164,796.24,1.9,4608979,91,4405330,425554,33235,9.66,7.81,926826,1759764,2.18,210.39,1.9,89.87,16.74,34.83,252,0
288,CMP_0288_App_Installs,App Promotion,App Installs,27,Instagram Ads,E-Commerce,Families,TOFU,Reels,Tablet,West,CPM,607250,Large,45,2026-08-06,2026-09-20,Paused,75,83,Medium,Medium,65.36,1004148,3626,167.47,1.65,3087672,96,1715924,70696,2057,4.12,2.91,607250,1004148,8.59,353.89,1.65,65.36,6.01,23.2,218,0
289,CMP_0289_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,138,Google Search Ads,Travel,Freelancers,TOFU,Reels,Desktop,South,Maximize Clicks,1483092,Enterprise,43,2026-06-05,2026-07-18,Running,86,92,Low,Medium,84.43,2735266,4314,343.79,1.84,302444,91,2125960,207706,5358,9.77,2.58,1483092,2735266,7.14,697.61,1.84,84.43,9.95,63.26,411,0
290,CMP_0290_Increase_Sales,App Promotion,Increase Sales,207,Google Display Ads,Education,Working Professionals,TOFU,Carousel,Mobile,Central,CPC,393323,Medium,66,2026-03-02,2026-05-07,Completed,88,89,Low,Medium,100.3,787825,159,2473.73,2.0,3149952,80,909029,46451,5416,5.11,11.66,393323,787825,8.47,432.68,2.0,100.3,13.68,24.09,461,1
291,CMP_0291_App_Installs,App Promotion,App Installs,100,Affiliate Marketing,Food Delivery,Working Professionals,TOFU,Image,All Devices,North,Maximize Clicks,633316,Large,102,2026-08-22,2026-12-02,Paused,75,73,Medium,Medium,97.84,1252952,529,1197.19,1.98,604356,90,3225458,283517,48027,8.79,16.94,633316,1252952,2.23,196.35,1.98,97.84,5.38,24.74,154,1
292,CMP_0292_Increase_Sales,Retargeting,Increase Sales,38,Instagram Ads,Travel,Business Owners,BOFU,Story,Mobile,East,CPC,1031135,Enterprise,110,2026-08-06,2026-11-24,Paused,96,89,Low,High,125.81,2328405,2336,441.41,2.26,4293093,64,2492202,45108,8074,1.81,17.9,1031135,2328405,22.86,413.74,2.26,125.81,17.9,55.48,39,1
293,CMP_0293_Generate_Leads,Lead Generation,Generate Leads,289,Facebook Ads,Travel,Families,MOFU,Reels,Tablet,West,Target ROAS,802954,Large,22,2026-06-15,2026-07-07,Running,93,96,Low,High,115.76,1732453,714,1124.59,2.16,2966342,86,3976629,459300,43909,11.55,9.56,802954,1732453,1.75,201.92,2.16,115.76,2.64,64.92,238,1
294,CMP_0294_Increase_Brand_Awareness,Sales,Increase Brand Awareness,192,Instagram Ads,Healthcare,Working Professionals,TOFU,Carousel,Desktop,East,Target ROAS,285143,Medium,109,2026-08-15,2026-12-02,Paused,66,59,High,Low,82.38,520043,2325,122.64,1.82,4005975,63,2523085,237926,32143,9.43,13.51,285143,520043,1.2,113.01,1.82,82.38,15.67,42.82,109,1
295,CMP_0295_Increase_Sales,Sales,Increase Sales,18,Google Display Ads,Travel,Business Owners,TOFU,Reels,Tablet,Central,CPC,513902,Large,28,2026-06-10,2026-07-08,Running,93,93,Low,High,135.55,1210496,549,936.07,2.36,2257465,97,980074,29402,5065,3.0,17.23,513902,1210496,17.48,524.35,2.36,135.55,14.05,36.96,409,1
296,CMP_0296_Customer_Retention,Retargeting,Customer Retention,221,LinkedIn Ads,Technology,Senior Citizens,BOFU,Story,Desktop,East,CPA,1047628,Enterprise,108,2026-08-14,2026-11-30,Planned,99,99,Low,High,142.81,2543745,4911,213.32,2.43,3119508,66,1474851,30234,1478,2.05,4.89,1047628,2543745,34.65,710.33,2.43,142.81,2.7,55.08,270,1
297,CMP_0297_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,205,Affiliate Marketing,Fashion,Business Owners,TOFU,Video,Mobile,East,Target ROAS,1195290,Enterprise,78,2026-06-20,2026-09-06,Running,91,85,Low,High,80.49,2157378,2698,443.03,1.8,863621,79,4826151,384644,12039,7.97,3.13,1195290,2157378,3.11,247.67,1.8,80.49,2.03,65.96,275,0
298,CMP_0298_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,29,Email Marketing,Healthcare,Freelancers,TOFU,Video,Tablet,Central,Maximize Clicks,253170,Medium,97,2026-05-06,2026-08-11,Running,87,87,Low,Medium,117.94,551758,2331,108.61,2.18,4759376,94,444701,27171,4869,6.11,17.92,253170,551758,9.32,569.3,2.18,117.94,8.85,28.41,436,1
299,CMP_0299_Customer_Retention,Brand Awareness,Customer Retention,237,Affiliate Marketing,E-Commerce,Students,TOFU,Carousel,All Devices,South,CPC,386503,Medium,41,2026-03-13,2026-04-23,Completed,60,63,High,Low,62.8,629226,1432,269.9,1.63,150983,71,2960879,85569,5921,2.89,6.92,386503,629226,4.52,130.54,1.63,62.8,11.56,51.14,401,0
300,CMP_0300_Website_Traffic,Brand Awareness,Website Traffic,298,Email Marketing,Healthcare,Senior Citizens,TOFU,Story,Mobile,West,CPA,100622,Medium,82,2026-07-19,2026-10-09,Paused,65,66,High,Low,90.48,191664,3405,29.55,1.9,1915415,88,572727,31442,4672,5.49,14.86,100622,191664,3.2,175.69,1.9,90.48,13.04,27.51,389,1
301,CMP_0301_Website_Traffic,Sales,Website Traffic,114,Google Search Ads,Finance,Business Owners,TOFU,Reels,All Devices,South,CPM,149131,Medium,99,2026-08-27,2026-12-04,Planned,63,57,High,Low,71.9,256356,2261,65.96,1.72,1051980,97,335148,35592,1975,10.62,5.55,149131,256356,4.19,444.97,1.72,71.9,6.24,60.73,350,0
302,CMP_0302_Website_Traffic,App Promotion,Website Traffic,240,Facebook Ads,Fashion,Families,TOFU,Image,Tablet,North,Maximize Clicks,690362,Large,30,2026-06-15,2026-07-15,Running,79,78,Medium,Medium,107.13,1429946,3277,210.67,2.07,4208379,92,3376687,216783,35053,6.42,16.17,690362,1429946,3.18,204.45,2.07,107.13,8.3,43.13,248,1
303,CMP_0303_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,125,Facebook Ads,Travel,Freelancers,TOFU,Story,All Devices,North,CPM,801953,Large,55,2026-04-08,2026-06-02,Completed,92,88,Low,High,109.29,1678407,3337,240.32,2.09,1563595,94,1024384,76521,5387,7.47,7.04,801953,1678407,10.48,782.86,2.09,109.29,11.09,26.4,105,1
304,CMP_0304_App_Installs,Retargeting,App Installs,115,YouTube Ads,Healthcare,Families,BOFU,Story,Desktop,North,CPM,595234,Large,75,2026-07-15,2026-09-28,Paused,92,91,Low,High,113.66,1271776,913,651.95,2.14,2973289,61,3879429,355355,26793,9.16,7.54,595234,1271776,1.68,153.43,2.14,113.66,12.12,30.97,109,1
305,CMP_0305_Generate_Leads,Retargeting,Generate Leads,208,Facebook Ads,Fashion,Working Professionals,BOFU,Carousel,Desktop,Central,CPA,1104079,Enterprise,55,2026-05-10,2026-07-04,Running,97,95,Low,High,132.17,2563340,716,1542.01,2.32,1188489,67,3173101,340791,15710,10.74,4.61,1104079,2563340,3.24,347.95,2.32,132.17,10.04,30.19,140,1
306,CMP_0306_Increase_Sales,Product Launch,Increase Sales,51,Google Search Ads,Healthcare,Business Owners,TOFU,Story,Desktop,Central,Target ROAS,371405,Medium,104,2026-07-10,2026-10-22,Paused,73,71,Medium,Medium,106.26,766059,4269,87.0,2.06,3070879,84,3656270,430708,23602,11.78,5.48,371405,766059,0.86,101.58,2.06,106.26,6.08,41.98,307,1
307,CMP_0307_Customer_Retention,Sales,Customer Retention,114,Google Search Ads,E-Commerce,Freelancers,TOFU,Story,Desktop,West,CPC,945750,Large,63,2026-05-31,2026-08-02,Running,86,90,Low,Medium,127.7,2153472,2203,429.3,2.28,2800376,88,2662379,153619,17727,5.77,11.54,945750,2153472,6.16,355.23,2.28,127.7,17.32,63.7,58,1
308,CMP_0308_Increase_Brand_Awareness,Sales,Increase Brand Awareness,184,YouTube Ads,Food Delivery,Freelancers,TOFU,Reels,All Devices,Central,CPM,412922,Medium,98,2026-08-12,2026-11-18,Planned,78,77,Medium,Medium,82.68,754325,2240,184.34,1.83,4172871,88,2706829,139943,13210,5.17,9.44,412922,754325,2.95,152.55,1.83,82.68,16.01,60.34,76,0
309,CMP_0309_Website_Traffic,Retargeting,Website Traffic,168,Google Display Ads,E-Commerce,Working Professionals,BOFU,Image,Mobile,Central,CPC,341966,Medium,56,2026-03-25,2026-05-20,Completed,71,77,Medium,Medium,77.71,607707,853,400.9,1.78,3744379,78,606980,40546,2611,6.68,6.44,341966,607707,8.43,563.39,1.78,77.71,11.71,36.1,70,0
310,CMP_0310_Generate_Leads,Product Launch,Generate Leads,168,Instagram Ads,E-Commerce,Students,TOFU,Story,Mobile,Central,Target ROAS,1060559,Enterprise,34,2026-08-06,2026-09-09,Planned,89,86,Low,Medium,123.37,2368970,2379,445.8,2.23,3391241,80,3960174,344931,35700,8.71,10.35,1060559,2368970,3.07,267.81,2.23,123.37,16.37,42.14,117,1
311,CMP_0311_Generate_Leads,Sales,Generate Leads,236,Affiliate Marketing,Food Delivery,Students,TOFU,Image,All Devices,West,CPC,619877,Large,118,2026-08-03,2026-11-29,Planned,81,88,Medium,Medium,101.46,1248804,631,982.37,2.01,1604738,82,1705226,164213,19262,9.63,11.73,619877,1248804,3.77,363.52,2.01,101.46,13.05,40.74,364,1
312,CMP_0312_App_Installs,Retargeting,App Installs,112,Email Marketing,Education,Families,BOFU,Video,Mobile,Central,Maximize Clicks,1106686,Enterprise,34,2026-04-01,2026-05-05,Completed,96,88,Low,High,79.1,1982074,4185,264.44,1.79,3531880,66,2592508,232547,37114,8.97,15.96,1106686,1982074,4.76,426.88,1.79,79.1,4.06,60.58,422,1
313,CMP_0313_App_Installs,Retargeting,App Installs,209,Affiliate Marketing,Education,Business Owners,BOFU,Video,Mobile,Central,CPC,630358,Large,116,2026-07-17,2026-11-10,Paused,77,79,Medium,Medium,77.3,1117624,3692,170.74,1.77,1211385,80,1602301,161351,10826,10.07,6.71,630358,1117624,3.91,393.41,1.77,77.3,11.66,37.57,422,0
314,CMP_0314_Generate_Leads,Product Launch,Generate Leads,198,YouTube Ads,Finance,Students,TOFU,Carousel,Mobile,East,CPM,350149,Medium,93,2026-07-15,2026-10-16,Planned,89,84,Low,Medium,87.49,656494,4741,73.86,1.87,3043959,67,3844479,139939,15253,3.64,10.9,350149,656494,2.5,91.08,1.87,87.49,2.87,46.42,402,1
315,CMP_0315_Increase_Sales,Sales,Increase Sales,25,Google Search Ads,Technology,Business Owners,TOFU,Reels,All Devices,South,Maximize Clicks,1434542,Enterprise,55,2026-03-05,2026-04-29,Completed,85,79,Low,Medium,110.15,3014690,3299,434.84,2.1,3321096,69,766047,21525,1747,2.81,8.12,1434542,3014690,66.65,1872.66,2.1,110.15,9.17,36.4,450,1
316,CMP_0316_Increase_Sales,Brand Awareness,Increase Sales,223,Google Display Ads,Healthcare,Students,TOFU,Image,Desktop,West,CPM,1195024,Enterprise,70,2026-08-10,2026-10-19,Planned,87,91,Low,Medium,99.15,2379890,3134,381.31,1.99,1311409,96,1369016,74885,2950,5.47,3.94,1195024,2379890,15.96,872.91,1.99,99.15,11.36,53.8,469,1
317,CMP_0317_Website_Traffic,App Promotion,Website Traffic,155,Google Display Ads,Healthcare,Working Professionals,TOFU,Image,Desktop,South,Maximize Clicks,1201311,Enterprise,94,2026-04-11,2026-07-14,Running,96,99,Low,High,133.2,2801457,1986,604.89,2.33,3900566,81,374577,8840,749,2.36,8.47,1201311,2801457,135.89,3207.11,2.33,133.2,11.76,59.4,204,1
318,CMP_0318_Increase_Sales,Lead Generation,Increase Sales,83,Email Marketing,Fashion,Business Owners,MOFU,Image,Tablet,West,Target ROAS,328863,Medium,17,2026-06-24,2026-07-11,Running,86,88,Low,Medium,92.75,633883,4149,79.26,1.93,3717723,65,1414409,124609,14130,8.81,11.34,328863,633883,2.64,232.51,1.93,92.75,5.73,24.5,363,1
319,CMP_0319_Generate_Leads,Brand Awareness,Generate Leads,6,Affiliate Marketing,Travel,Business Owners,TOFU,Video,Desktop,East,CPC,322127,Medium,34,2026-07-25,2026-08-28,Planned,87,83,Low,Medium,86.17,599703,1741,185.02,1.86,3130480,64,1393768,124463,21457,8.93,17.24,322127,599703,2.59,231.12,1.86,86.17,11.08,44.58,426,1
320,CMP_0320_App_Installs,Retargeting,App Installs,258,Google Search Ads,Finance,Families,BOFU,Reels,Desktop,West,Maximize Clicks,706028,Large,91,2026-08-22,2026-11-21,Paused,93,96,Low,High,139.28,1689383,2333,302.63,2.39,4442417,70,4884815,232517,30552,4.76,13.14,706028,1689383,3.04,144.54,2.39,139.28,8.41,60.91,38,1
321,CMP_0321_Website_Traffic,Brand Awareness,Website Traffic,118,Email Marketing,Education,Senior Citizens,TOFU,Reels,All Devices,Central,CPA,1213916,Enterprise,57,2026-08-25,2026-10-21,Paused,92,86,Low,High,89.59,2301463,3818,317.95,1.9,4642954,70,1882663,35017,5945,1.86,16.98,1213916,2301463,34.67,644.79,1.9,89.59,16.93,24.88,63,1
322,CMP_0322_App_Installs,Product Launch,App Installs,265,Email Marketing,Technology,Working Professionals,TOFU,Story,Tablet,South,CPM,1495794,Enterprise,107,2026-03-20,2026-07-05,Running,87,89,Low,Medium,118.26,3264719,4256,351.46,2.18,4853954,89,3517607,358092,28181,10.18,7.87,1495794,3264719,4.18,425.23,2.18,118.26,17.61,54.69,235,1
323,CMP_0323_App_Installs,Brand Awareness,App Installs,25,Facebook Ads,Education,Families,TOFU,Carousel,Desktop,North,CPC,535850,Large,89,2026-08-20,2026-11-17,Planned,76,70,Medium,Medium,98.57,1064037,809,662.36,1.99,2656438,72,4246159,120166,20247,2.83,16.85,535850,1064037,4.46,126.2,1.99,98.57,17.23,39.4,348,1
324,CMP_0324_App_Installs,Product Launch,App Installs,216,Instagram Ads,Finance,Business Owners,TOFU,Carousel,Mobile,West,CPM,551871,Large,113,2026-07-23,2026-11-13,Paused,83,90,Medium,Medium,96.47,1084260,3557,155.15,1.96,192553,68,4793170,460623,71903,9.61,15.61,551871,1084260,1.2,115.14,1.96,96.47,13.26,28.41,392,1
325,CMP_0325_Customer_Retention,Product Launch,Customer Retention,161,Facebook Ads,Technology,Families,TOFU,Image,Desktop,North,CPC,1466205,Enterprise,46,2026-05-18,2026-07-03,Running,88,85,Low,Medium,118.0,3196326,1584,925.63,2.18,505809,75,436089,8416,1036,1.93,12.31,1466205,3196326,174.22,3362.17,2.18,118.0,7.35,41.04,211,1
326,CMP_0326_App_Installs,Sales,App Installs,215,Instagram Ads,Finance,Business Owners,TOFU,Image,Desktop,West,CPA,286216,Medium,33,2026-07-08,2026-08-10,Paused,87,95,Low,Medium,129.19,655978,2484,115.22,2.29,1479853,78,3207764,200806,23253,6.26,11.58,286216,655978,1.43,89.23,2.29,129.19,8.53,67.73,289,1
327,CMP_0327_Website_Traffic,Lead Generation,Website Traffic,107,Facebook Ads,Travel,Families,MOFU,Carousel,Desktop,East,CPA,1377238,Enterprise,31,2026-08-14,2026-09-14,Planned,97,91,Low,High,90.39,2622123,3277,420.27,1.9,3988094,61,1891139,143726,20639,7.6,14.36,1377238,2622123,9.58,728.26,1.9,90.39,13.12,52.37,399,1
328,CMP_0328_Increase_Brand_Awareness,Sales,Increase Brand Awareness,267,LinkedIn Ads,Technology,Freelancers,TOFU,Reels,Mobile,North,Target ROAS,777315,Large,15,2026-06-19,2026-07-04,Running,88,80,Low,Medium,129.81,1786347,4003,194.18,2.3,2038491,96,3519811,32382,1774,0.92,5.48,777315,1786347,24.0,220.84,2.3,129.81,16.28,43.99,450,1
329,CMP_0329_Increase_Brand_Awareness,Lead Generation,Increase Brand Awareness,203,Email Marketing,Food Delivery,Working Professionals,MOFU,Carousel,Tablet,West,Target ROAS,1211895,Enterprise,86,2026-07-19,2026-10-13,Paused,87,87,Low,Medium,105.04,2484869,1824,664.42,2.05,4057339,66,3149035,121867,13149,3.87,10.79,1211895,2484869,9.94,384.85,2.05,105.04,7.17,43.98,255,1
330,CMP_0330_Customer_Retention,Lead Generation,Customer Retention,200,YouTube Ads,E-Commerce,Families,MOFU,Video,All Devices,North,CPC,418178,Medium,34,2026-07-28,2026-08-31,Planned,60,54,High,Low,66.01,694217,312,1340.31,1.66,2857666,61,1354508,87094,5913,6.43,6.79,418178,694217,4.8,308.73,1.66,66.01,11.44,67.21,76,0
331,CMP_0331_Website_Traffic,Product Launch,Website Traffic,180,Affiliate Marketing,E-Commerce,Families,TOFU,Reels,Desktop,East,CPM,1080188,Enterprise,22,2026-05-26,2026-06-17,Completed,88,84,Low,Medium,109.43,2262237,3418,316.03,2.09,3969460,83,3633491,277235,10895,7.63,3.93,1080188,2262237,3.9,297.29,2.09,109.43,13.38,54.65,39,1
332,CMP_0332_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,89,YouTube Ads,Healthcare,Business Owners,TOFU,Video,Mobile,West,CPC,567412,Large,120,2026-08-08,2026-12-06,Paused,83,84,Medium,Medium,101.28,1142086,4539,125.01,2.01,4902122,69,1550262,31470,1903,2.03,6.05,567412,1142086,18.03,366.01,2.01,101.28,16.87,54.67,95,1
333,CMP_0333_Increase_Sales,Sales,Increase Sales,69,Instagram Ads,Fashion,Students,TOFU,Video,Desktop,North,CPC,253334,Medium,87,2026-08-14,2026-11-09,Planned,74,66,Medium,Medium,110.35,532888,3741,67.72,2.1,915999,69,3209963,328379,23216,10.23,7.07,253334,532888,0.77,78.92,2.1,110.35,2.3,58.67,279,1
334,CMP_0334_Increase_Sales,Lead Generation,Increase Sales,196,YouTube Ads,Fashion,Working Professionals,MOFU,Video,All Devices,East,Target ROAS,1411214,Enterprise,80,2026-01-13,2026-04-03,Completed,88,86,Low,Medium,77.22,2500953,2988,472.29,1.77,3649544,68,117902,3525,242,2.99,6.87,1411214,2500953,400.34,11969.38,1.77,77.22,5.88,53.44,215,0
335,CMP_0335_Generate_Leads,Brand Awareness,Generate Leads,119,Google Display Ads,Healthcare,Freelancers,TOFU,Video,Mobile,North,CPC,981804,Large,41,2026-05-11,2026-06-21,Completed,89,84,Low,Medium,75.93,1727287,2859,343.41,1.76,1733161,79,1675651,114111,14823,6.81,12.99,981804,1727287,8.6,585.92,1.76,75.93,16.74,54.89,220,1
336,CMP_0336_Website_Traffic,Lead Generation,Website Traffic,32,Instagram Ads,Food Delivery,Business Owners,MOFU,Video,Tablet,West,CPC,559106,Large,19,2026-08-23,2026-09-11,Paused,86,78,Low,Medium,117.36,1215272,1051,531.98,2.17,3477796,91,1457485,151869,4525,10.42,2.98,559106,1215272,3.68,383.61,2.17,117.36,2.31,24.99,275,1
337,CMP_0337_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,50,Google Search Ads,Education,Business Owners,BOFU,Video,Desktop,East,Target ROAS,1429989,Enterprise,43,2026-06-12,2026-07-25,Running,85,80,Low,Medium,98.32,2835954,4589,311.61,1.98,3742419,61,2069777,86930,1929,4.2,2.22,1429989,2835954,16.45,690.89,1.98,98.32,4.56,58.19,149,1
338,CMP_0338_Customer_Retention,Product Launch,Customer Retention,49,Instagram Ads,E-Commerce,Working Professionals,TOFU,Carousel,Tablet,North,CPC,752739,Large,93,2026-02-09,2026-05-13,Completed,93,99,Low,High,133.57,1758172,3466,217.18,2.34,2276068,82,4566335,330602,47474,7.24,14.36,752739,1758172,2.28,164.85,2.34,133.57,2.02,36.83,36,1
339,CMP_0339_Increase_Sales,Retargeting,Increase Sales,280,Email Marketing,Education,Students,BOFU,Carousel,Tablet,North,CPM,774567,Large,55,2026-07-08,2026-09-01,Planned,92,88,Low,High,126.29,1752767,265,2922.89,2.26,3887928,64,1666591,77663,11268,4.66,14.51,774567,1752767,9.97,464.76,2.26,126.29,11.08,62.83,33,1
340,CMP_0340_Website_Traffic,App Promotion,Website Traffic,115,Google Display Ads,Fashion,Business Owners,TOFU,Story,All Devices,Central,Target ROAS,642353,Large,116,2026-08-04,2026-11-28,Planned,76,78,Medium,Medium,63.04,1047292,4468,143.77,1.63,3368970,81,3118960,69864,7496,2.24,10.73,642353,1047292,9.19,205.95,1.63,63.04,3.87,31.24,469,1
341,CMP_0341_Increase_Sales,Product Launch,Increase Sales,50,YouTube Ads,Healthcare,Families,TOFU,Video,Mobile,Central,CPM,1031845,Enterprise,45,2026-08-24,2026-10-08,Planned,85,93,Low,Medium,72.61,1781067,673,1533.2,1.73,436097,85,2378361,179090,20434,7.53,11.41,1031845,1781067,5.76,433.85,1.73,72.61,15.74,36.72,128,1
342,CMP_0342_App_Installs,Sales,App Installs,224,Email Marketing,Healthcare,Working Professionals,TOFU,Video,All Devices,North,CPM,733147,Large,34,2026-04-08,2026-05-12,Completed,88,81,Low,Medium,128.96,1678613,250,2932.59,2.29,2625767,67,3651019,108070,4106,2.96,3.8,733147,1678613,6.78,200.81,2.29,128.96,9.26,54.33,235,1
343,CMP_0343_Generate_Leads,Brand Awareness,Generate Leads,68,Facebook Ads,Healthcare,Freelancers,TOFU,Video,Desktop,South,CPM,1021449,Enterprise,83,2026-03-23,2026-06-14,Completed,92,87,Low,High,79.15,1829925,1903,536.76,1.79,3039020,62,3869458,387719,63275,10.02,16.32,1021449,1829925,2.63,263.98,1.79,79.15,8.19,42.36,61,1
344,CMP_0344_Customer_Retention,App Promotion,Customer Retention,256,LinkedIn Ads,Food Delivery,Working Professionals,TOFU,Reels,All Devices,South,CPM,138027,Medium,94,2026-08-12,2026-11-14,Planned,80,72,Medium,Medium,118.23,301216,3180,43.4,2.18,3104401,70,4963148,132019,14627,2.66,11.08,138027,301216,1.05,27.81,2.18,118.23,7.81,35.16,448,1
345,CMP_0345_Generate_Leads,Lead Generation,Generate Leads,43,Affiliate Marketing,Fashion,Students,MOFU,Video,Desktop,East,Target ROAS,599163,Large,22,2026-04-27,2026-05-19,Completed,82,84,Medium,Medium,98.71,1190596,856,699.96,1.99,2530263,88,2415796,258007,32534,10.68,12.61,599163,1190596,2.32,248.02,1.99,98.71,17.0,57.3,222,1
346,CMP_0346_Generate_Leads,Retargeting,Generate Leads,101,Facebook Ads,Healthcare,Senior Citizens,BOFU,Image,Tablet,East,CPA,1285505,Enterprise,34,2026-08-03,2026-09-06,Paused,98,99,Low,High,146.9,3173911,4302,298.82,2.47,806228,70,1692676,158265,4320,9.35,2.73,1285505,3173911,8.12,759.45,2.47,146.9,15.39,55.54,342,1
347,CMP_0347_Generate_Leads,Brand Awareness,Generate Leads,100,Google Display Ads,Finance,Freelancers,TOFU,Carousel,All Devices,West,Maximize Clicks,1460618,Enterprise,16,2026-06-18,2026-07-04,Running,88,94,Low,Medium,90.73,2785836,514,2841.67,1.91,1963972,64,589902,49787,3385,8.44,6.8,1460618,2785836,29.34,2476.04,1.91,90.73,7.08,40.82,332,0
